,condition,bin,type,subject,itemnum,cloze,constraint,contrast_unexpected,accuracy,w1,w2,region,amplitude
7314,LC.UNEXP.VB,10,0,18,497,1,0,-2,1,保持,体重,mid_frontal,0.6866816666666667
7315,HC.AN.CL,1,1,18,295,0,1,0,1,一篇,线,mid_frontal,-0.7682887000000002
7316,LC.UNEXP.CL,5,1,18,613,1,0,-2,1,一颗,珍珠,mid_frontal,16.807983333333333
7317,HC.EXP.VB,8,0,18,456,2,1,0,1,适应,环境,mid_frontal,2.4007428999999996
7318,LC.AN.CL,2,1,18,485,0,0,0,1,一点,鞋子,mid_frontal,-6.419960333333333
7319,HC.EXP.CL,3,1,18,92,2,1,0,1,一番,话,mid_frontal,-6.021642333333333
7320,HC.EXP.CL,3,1,18,114,2,1,0,1,一群,人,mid_frontal,-14.482099999999997
7321,LC.AN.VB,7,0,18,201,0,0,0,1,压缩,电话,mid_frontal,3.0332276666666664
7322,HC.UNEXP.CL,4,1,18,321,1,1,-1,1,一缸,荷花,mid_frontal,-13.081883666666664
7323,HC.EXP.CL,3,1,18,324,2,1,0,1,一里,路,mid_frontal,-4.361219333333333
7324,LC.AN.VB,7,0,18,632,0,0,0,1,统治,尸体,mid_frontal,-0.9702406333333333
7325,HC.EXP.VB,8,0,18,463,2,1,0,1,从事,工作,mid_frontal,-3.7876006666666666
7326,HC.UNEXP.VB,9,0,18,630,1,1,-1,1,扩大,调查,mid_frontal,-1.5923089999999995
7327,HC.UNEXP.CL,4,1,18,182,1,1,-1,1,一面,木板,mid_frontal,-1.5439234666666666
7328,LC.AN.CL,2,1,18,639,0,0,0,1,一份,歌曲,mid_frontal,-12.815070666666665
7329,LC.UNEXP.VB,10,0,18,199,1,0,-2,1,考察,环境,mid_frontal,-4.097802633333334
7330,LC.UNEXP.CL,5,1,18,452,1,0,-2,1,一锅,肉,mid_frontal,10.681669333333334
7331,LC.UNEXP.VB,10,0,18,304,1,0,-2,1,罢免,法官,mid_frontal,0.06624176666666674
7332,HC.EXP.CL,3,1,18,50,2,1,0,1,一幢,楼,mid_frontal,-6.5308486666666665
7333,HC.EXP.VB,8,0,18,627,2,1,0,1,买,东西,mid_frontal,-12.25423
7334,HC.AN.CL,1,1,18,102,0,1,0,1,一册,电话,mid_frontal,-0.8428618666666666
7335,HC.UNEXP.VB,9,0,18,659,1,1,-1,1,回馈,顾客,mid_frontal,-1.0177248
7336,HC.UNEXP.CL,4,1,18,187,1,1,-1,1,一里,海岸,mid_frontal,-2.4000106666666667
7337,HC.AN.VB,6,0,18,288,0,1,0,0,讨回,鸡,mid_frontal,-9.932765999999999
7338,LC.AN.CL,2,1,18,729,0,0,0,1,一块,香烟,mid_frontal,-33.870219999999996
7339,HC.UNEXP.CL,4,1,18,317,1,1,-1,1,一丛丛,杂草,mid_frontal,6.170246666666666
7340,HC.UNEXP.VB,9,0,18,109,1,1,-1,1,回顾,传统,mid_frontal,4.179818333333333
7341,LC.AN.CL,2,1,18,34,0,0,0,1,一根,运动,mid_frontal,-3.2995673333333335
7342,HC.EXP.CL,3,1,18,36,2,1,0,1,一列,火车,mid_frontal,-12.018589
7343,LC.UNEXP.CL,5,1,18,322,1,0,-2,1,一片,天地,mid_frontal,-6.417660000000001
7344,LC.UNEXP.CL,5,1,18,57,1,0,-2,1,一池,水草,mid_frontal,-4.552979666666666
7345,HC.UNEXP.VB,9,0,18,189,1,1,-1,1,侮辱,烈士,mid_frontal,-1.3522074933333335
7346,HC.AN.CL,1,1,18,35,0,1,0,1,一档,饭,mid_frontal,-2.5315603333333336
7347,LC.AN.VB,7,0,18,195,0,0,0,1,实现,乐曲,mid_frontal,-8.805466333333333
7348,LC.UNEXP.CL,5,1,18,623,1,0,-2,1,一部,手机,mid_frontal,-8.176998333333334
7349,HC.UNEXP.CL,4,1,18,183,1,1,-1,1,一群,老师,mid_frontal,-8.837296
7350,HC.AN.VB,6,0,18,60,0,1,0,1,负有,黄金,mid_frontal,-17.90589
7351,LC.UNEXP.VB,10,0,18,191,1,0,-2,1,发生,悲剧,mid_frontal,-0.4178723333333334
7352,LC.AN.CL,2,1,18,303,0,0,0,1,一波,路,mid_frontal,2.4369967666666668
7353,LC.UNEXP.VB,10,0,18,467,1,0,-2,1,担任,经理,mid_frontal,-7.363711333333334
7354,LC.UNEXP.CL,5,1,18,491,1,0,-2,1,一门,语言,mid_frontal,-4.922996
7355,LC.AN.CL,2,1,18,628,0,0,0,1,一身,火车,mid_frontal,2.0476043333333336
7356,HC.UNEXP.VB,9,0,18,471,1,1,-1,1,就任,经理,mid_frontal,-6.856361333333332
7357,HC.EXP.VB,8,0,18,465,2,1,0,1,推动,发展,mid_frontal,-9.252711333333332
7358,LC.UNEXP.CL,5,1,18,607,1,0,-2,1,一条,短信,mid_frontal,0.05678403333333332
7359,HC.UNEXP.CL,4,1,18,293,1,1,-1,1,一尊,鼎,mid_frontal,-8.199594433333333
7360,HC.AN.VB,6,0,18,724,0,1,0,1,侵吞,线,mid_frontal,-2.7708139999999997
7361,HC.AN.VB,6,0,18,464,0,1,0,1,承担,牛,mid_frontal,-9.579999666666668
7362,HC.AN.CL,1,1,18,732,0,1,0,1,一大笔,牛,mid_frontal,4.204652666666667
7363,LC.AN.VB,7,0,18,206,0,0,0,1,实行,飞机,mid_frontal,1.4500240333333334
7364,HC.UNEXP.CL,4,1,18,193,1,1,-1,1,一肚子,酒,mid_frontal,0.14904803333333363
7365,HC.EXP.VB,8,0,18,656,2,1,0,1,汇报,工作,mid_frontal,-7.154972999999999
7366,LC.AN.CL,2,1,18,617,0,0,0,1,一年,食物,mid_frontal,-4.3621576666666675
7367,HC.EXP.VB,8,0,18,328,2,1,0,1,完成,任务,mid_frontal,-11.165453333333332
7368,LC.AN.VB,7,0,18,509,0,0,0,1,迫于,米,mid_frontal,-1.5638756666666669
7369,LC.UNEXP.CL,5,1,18,736,1,0,-2,1,一班,孩子,mid_frontal,-23.247986666666666
7370,LC.AN.CL,2,1,18,723,0,0,0,0,一平米,信号,mid_frontal,-11.528086333333334
7371,HC.AN.CL,1,1,18,323,0,1,0,1,一具,乐曲,mid_frontal,-17.979223333333334
7372,HC.UNEXP.CL,4,1,18,282,1,1,-1,1,一通,电报,mid_frontal,-2.2184439333333335
7373,LC.UNEXP.VB,10,0,18,272,1,0,-2,1,严守,承诺,mid_frontal,-0.618829
7374,HC.EXP.CL,3,1,18,620,2,1,0,1,一幕幕,戏,mid_frontal,-3.734162
7375,LC.UNEXP.VB,10,0,18,741,1,0,-2,1,操纵,机器,mid_frontal,-18.93259
7376,LC.AN.VB,7,0,18,616,0,0,0,1,继承,水流,mid_frontal,-8.973366666666667
7377,HC.AN.VB,6,0,18,477,0,1,0,1,振奋,水流,mid_frontal,-8.525274666666666
7378,HC.EXP.VB,8,0,18,490,2,1,0,1,分散,注意力,mid_frontal,10.836500000000001
7379,HC.AN.VB,6,0,18,31,0,1,0,1,考上,酒店,mid_frontal,-8.907998
7380,HC.UNEXP.CL,4,1,18,289,1,1,-1,1,一列,学生,mid_frontal,6.986170333333334
7381,HC.AN.CL,1,1,18,100,0,1,0,1,一辆,措施,mid_frontal,0.27554329333333333
7382,HC.UNEXP.CL,4,1,18,96,1,1,-1,1,一公顷,沙漠,mid_frontal,-13.54912
7383,HC.EXP.VB,8,0,18,655,2,1,0,1,夺得,冠军,mid_frontal,0.9511565999999999
7384,HC.EXP.CL,3,1,18,45,2,1,0,1,一江,春水,mid_frontal,-7.787604333333333
7385,LC.AN.CL,2,1,18,468,0,0,0,1,一组,武艺,mid_frontal,-6.560675000000001
7386,HC.AN.VB,6,0,18,484,0,1,0,1,深化,猪,mid_frontal,15.11735
7387,HC.AN.VB,6,0,18,476,0,1,0,1,扮演,土地,mid_frontal,-9.406733000000001
7388,HC.UNEXP.VB,9,0,18,487,1,1,-1,1,参加,婚礼,mid_frontal,-9.862111333333333
7389,LC.UNEXP.VB,10,0,18,208,1,0,-2,0,接受,计划,mid_frontal,6.170692666666667
7390,HC.UNEXP.VB,9,0,18,634,1,1,-1,0,补贴,老师,mid_frontal,-11.489677666666667
7391,LC.AN.CL,2,1,18,95,0,0,0,1,一块,失败,mid_frontal,-19.732646666666668
7392,LC.AN.VB,7,0,18,113,0,0,0,1,牺牲,扣子,mid_frontal,-7.7059863333333345
7393,LC.UNEXP.CL,5,1,18,728,1,0,-2,1,一度,角,mid_frontal,-21.447863333333334
7394,HC.EXP.CL,3,1,18,305,2,1,0,1,一回合,比赛,mid_frontal,16.17209
7395,HC.EXP.VB,8,0,18,103,2,1,0,1,重建,家园,mid_frontal,-4.0083720000000005
7396,LC.UNEXP.CL,5,1,18,275,1,0,-2,0,一道,瀑布,mid_frontal,-7.751966900000002
7397,HC.UNEXP.VB,9,0,18,493,1,1,-1,1,拉动,发展,mid_frontal,2.5871872333333337
7398,LC.UNEXP.CL,5,1,18,104,1,0,-2,1,一批,民工,mid_frontal,-26.551973333333333
7399,HC.EXP.CL,3,1,18,291,2,1,0,1,一肚子,坏水,mid_frontal,-3.709183766666666
7400,HC.EXP.CL,3,1,18,731,2,1,0,1,一丛丛,花,mid_frontal,0.9381736666666664
7401,LC.AN.VB,7,0,18,478,0,0,0,1,总结,水果,mid_frontal,-7.1845734000000006
7402,HC.AN.CL,1,1,18,721,0,1,0,1,一间,扣子,mid_frontal,-6.7596099999999995
7403,HC.EXP.VB,8,0,18,641,2,1,0,1,震撼,人心,mid_frontal,15.69523
7404,HC.UNEXP.CL,4,1,18,504,1,1,-1,1,一副,牌,mid_frontal,-2.0511559333333333
7405,HC.EXP.VB,8,0,18,495,2,1,0,1,促进,发展,mid_frontal,-7.387251666666667
7406,LC.UNEXP.VB,10,0,18,453,1,0,-2,1,影响,出口,mid_frontal,1.7476074666666668
7407,LC.UNEXP.VB,10,0,18,59,1,0,-2,1,保有,价值,mid_frontal,-8.144285333333334
7408,LC.UNEXP.CL,5,1,18,481,1,0,-2,1,一则,寻人启事,mid_frontal,-6.754133
7409,HC.EXP.CL,3,1,18,39,2,1,0,1,一缸,水,mid_frontal,-5.10216326
7410,HC.EXP.VB,8,0,18,210,2,1,0,1,判处,死刑,mid_frontal,0.3636686666666666
7411,LC.AN.CL,2,1,18,457,0,0,0,1,一次,线,mid_frontal,-9.876274
7412,HC.EXP.CL,3,1,18,276,2,1,0,1,一通,电话,mid_frontal,4.231131
7413,LC.UNEXP.VB,10,0,18,603,1,0,-2,1,安排,住宿,mid_frontal,-1.0557285333333335
7414,HC.AN.VB,6,0,18,489,0,1,0,1,奠定,水果,mid_frontal,-8.701894666666666
7415,LC.UNEXP.VB,10,0,18,196,1,0,-2,1,动摇,基础,mid_frontal,2.374172
7416,LC.AN.CL,2,1,18,730,0,0,0,1,一丝,子弹,mid_frontal,4.513387666666667
7417,HC.AN.VB,6,0,18,33,0,1,0,1,开展,墙,mid_frontal,-0.34272300000000006
7418,LC.AN.VB,7,0,18,608,0,0,0,1,解释,酒店,mid_frontal,-2.2553063333333334
7419,LC.UNEXP.CL,5,1,18,499,1,0,-2,1,一叶,窗,mid_frontal,-5.334704333333332
7420,HC.AN.CL,1,1,18,601,0,1,0,1,一阵,学校,mid_frontal,-6.761147666666666
7421,LC.UNEXP.VB,10,0,18,52,1,0,-2,1,改进,绿化,mid_frontal,-10.279773666666667
7422,HC.AN.VB,6,0,18,327,0,1,0,1,施加,楼房,mid_frontal,-2.5889254666666663
7423,HC.UNEXP.VB,9,0,18,654,1,1,-1,1,占用,教室,mid_frontal,-0.08396266666666656
7424,LC.AN.VB,7,0,18,642,0,0,0,1,提供,热血,mid_frontal,-4.698973333333333
7425,HC.AN.CL,1,1,18,658,0,1,0,1,一滴,墙,mid_frontal,-4.390900666666666
7426,LC.UNEXP.CL,5,1,18,486,1,0,-2,1,一场,培训,mid_frontal,-4.7622739
7427,HC.EXP.VB,8,0,18,326,2,1,0,1,改善,生活,mid_frontal,-1.8141346666666667
7428,HC.UNEXP.VB,9,0,18,292,1,1,-1,1,讨论,分工,mid_frontal,-6.496935333333333
7429,HC.UNEXP.VB,9,0,18,626,1,1,-1,1,管制,出国,mid_frontal,-2.0801861333333336
7430,HC.EXP.CL,3,1,18,746,2,1,0,1,一盘,菜,mid_frontal,-4.696746333333333
7431,HC.EXP.VB,8,0,18,744,2,1,0,1,造福,人类,mid_frontal,1.5502326666666668
7432,HC.EXP.VB,8,0,18,749,2,1,0,1,提出,问题,mid_frontal,-7.900353
7433,HC.AN.CL,1,1,18,32,0,1,0,1,一剂,鞋子,mid_frontal,-10.428854
7434,HC.AN.CL,1,1,18,41,0,1,0,1,一代,水流,mid_frontal,-24.238339999999997
7435,HC.AN.VB,6,0,18,111,0,1,0,1,征求,乐曲,mid_frontal,4.020923666666667
7436,LC.AN.CL,2,1,18,503,0,0,0,1,一组,学问,mid_frontal,-14.79108666666667
7437,HC.AN.VB,6,0,18,203,0,1,0,1,赚,生日,mid_frontal,-11.772363666666669
7438,LC.UNEXP.VB,10,0,18,42,1,0,-2,1,降低,分数,mid_frontal,-0.13649733666666666
7439,LC.AN.VB,7,0,18,727,0,0,0,1,侵害,黄金,mid_frontal,-7.5872296666666665
7440,LC.UNEXP.CL,5,1,18,209,1,0,-2,0,一岁,庄稼,mid_frontal,-7.525326333333335
7441,HC.EXP.CL,3,1,18,473,2,1,0,1,一起,事故,mid_frontal,-2.446014
7442,HC.AN.VB,6,0,18,605,0,1,0,1,竞选,棋,mid_frontal,6.444822333333334
7443,HC.AN.VB,6,0,18,55,0,1,0,1,名列,措施,mid_frontal,5.8940133333333335
7444,HC.UNEXP.CL,4,1,18,325,1,1,-1,1,一届,晚会,mid_frontal,-18.040186666666667
7445,HC.EXP.VB,8,0,18,614,2,1,0,1,吸取,教训,mid_frontal,-10.255049666666666
7446,LC.AN.VB,7,0,18,743,0,0,0,1,举办,鞋子,mid_frontal,-3.175361
7447,HC.UNEXP.VB,9,0,18,725,1,1,-1,1,服,药,mid_frontal,-1.8674326666666665
7448,HC.EXP.CL,3,1,18,314,2,1,0,1,一座,山,mid_frontal,-3.871570866666667
7449,HC.EXP.CL,3,1,18,644,2,1,0,1,一扇,门,mid_frontal,3.4667863333333337
7450,HC.UNEXP.CL,4,1,18,482,1,1,-1,1,一番,天地,mid_frontal,-5.956486999999999
7451,HC.UNEXP.VB,9,0,18,312,1,1,-1,1,驾驶,飞船,mid_frontal,-2.0397736666666666
7452,LC.AN.CL,2,1,18,194,0,0,0,1,一堆,希望,mid_frontal,-4.904392
7453,HC.UNEXP.CL,4,1,18,636,1,1,-1,1,一套,家具,mid_frontal,-14.373716666666667
7454,HC.UNEXP.VB,9,0,18,91,1,1,-1,1,开创,领域,mid_frontal,6.396126
7455,HC.EXP.CL,3,1,18,107,2,1,0,1,一副,眼镜,mid_frontal,-5.044619
7456,HC.AN.CL,1,1,18,112,0,1,0,1,一毛,尸体,mid_frontal,-5.963323333333334
7457,LC.AN.VB,7,0,18,455,0,0,0,1,出现,经历,mid_frontal,-8.373339
7458,HC.EXP.VB,8,0,18,618,2,1,0,1,宏扬,精神,mid_frontal,-4.254881
7459,HC.UNEXP.VB,9,0,18,735,1,1,-1,1,穿越,火线,mid_frontal,-4.395978
7460,HC.EXP.CL,3,1,18,461,2,1,0,1,一壶,酒,mid_frontal,-7.397414
7461,LC.AN.VB,7,0,18,472,0,0,0,1,加快,墙,mid_frontal,-2.4853856666666667
7462,LC.AN.VB,7,0,18,105,0,0,0,1,汲取,学校,mid_frontal,0.8226079666666667
7463,LC.AN.CL,2,1,18,451,0,0,0,1,一堆,水流,mid_frontal,-5.928726666666667
7464,LC.AN.CL,2,1,18,500,0,0,0,1,一处,饭,mid_frontal,0.18565833333333348
7465,HC.EXP.CL,3,1,18,629,2,1,0,1,一公顷,土地,mid_frontal,3.277031333333333
7466,HC.UNEXP.CL,4,1,18,622,1,1,-1,1,一座,城堡,mid_frontal,-2.1705723333333338
7467,HC.UNEXP.CL,4,1,18,116,1,1,-1,1,一幢,城堡,mid_frontal,-5.476586666666667
7468,LC.AN.CL,2,1,18,494,0,0,0,1,一波波,公司,mid_frontal,-9.003724666666667
7469,HC.AN.CL,1,1,18,747,0,1,0,1,一棵,土地,mid_frontal,-10.170223666666667
7470,HC.AN.VB,6,0,18,51,0,1,0,1,搬起,卧室,mid_frontal,-3.301888333333333
7471,HC.AN.CL,1,1,18,299,0,1,0,1,一盏,生日,mid_frontal,-3.99155
7472,LC.AN.CL,2,1,18,750,0,0,0,1,一手,飞机,mid_frontal,-9.594822666666667
7473,HC.UNEXP.CL,4,1,18,316,1,1,-1,0,一起,安检,mid_frontal,-16.710796666666667
7474,LC.UNEXP.VB,10,0,18,722,1,0,-2,1,抵制,文化,mid_frontal,-14.968374000000003
7475,LC.UNEXP.VB,10,0,18,98,1,0,-2,1,持有,黄金,mid_frontal,4.941263666666667
7476,LC.UNEXP.CL,5,1,18,507,1,0,-2,1,一大群,蚂蚁,mid_frontal,-1.9236088999999996
7477,HC.UNEXP.VB,9,0,18,737,1,1,-1,1,发表,看法,mid_frontal,-11.324472333333333
7478,LC.AN.CL,2,1,18,635,0,0,0,1,一项,饭,mid_frontal,15.116576666666667
7479,HC.AN.VB,6,0,18,311,0,1,0,1,贴近,鞋子,mid_frontal,-0.5714274500000002
7480,HC.AN.CL,1,1,18,302,0,1,0,1,一亩,云朵,mid_frontal,1.0302078333333335
7481,HC.UNEXP.VB,9,0,18,40,1,1,-1,1,健全,法治,mid_frontal,-11.357706666666667
7482,LC.AN.VB,7,0,18,47,0,0,0,0,遍布,牛,mid_frontal,-7.831477666666667
7483,LC.AN.VB,7,0,18,459,0,0,0,1,欺负,卧室,mid_frontal,2.1208846666666665
7484,LC.UNEXP.CL,5,1,18,285,1,0,-2,1,一把,火,mid_frontal,6.999378666666668
7485,HC.EXP.VB,8,0,18,653,2,1,0,1,没收,财产,mid_frontal,-4.861040466666666
7486,HC.AN.VB,6,0,18,320,0,1,0,1,筹措,鱼,mid_frontal,-14.467426666666666
7487,HC.AN.VB,6,0,18,207,0,1,0,1,采取,菜,mid_frontal,-5.8438773333333325
7488,HC.AN.CL,1,1,18,610,0,1,0,1,一斗,楼房,mid_frontal,-15.804308999999998
7489,LC.UNEXP.CL,5,1,18,44,1,0,-2,0,一两,油,mid_frontal,-9.753751333333334
7490,LC.AN.VB,7,0,18,58,0,0,0,0,发展,楼房,mid_frontal,-1.9265422333333333
7491,LC.UNEXP.VB,10,0,18,612,1,0,-2,1,表示,中立,mid_frontal,3.3861066666666666
7492,LC.UNEXP.CL,5,1,18,462,1,0,-2,1,一口,奶,mid_frontal,-6.972802000000001
7493,HC.EXP.VB,8,0,18,621,2,1,0,1,骗,人,mid_frontal,13.22835
7494,HC.EXP.VB,8,0,18,43,2,1,0,1,使用,工具,mid_frontal,-0.06271943333333348
7495,HC.AN.VB,6,0,18,205,0,1,0,1,吃,香烟,mid_frontal,8.209686
7496,HC.UNEXP.CL,4,1,18,645,1,1,-1,1,一记,警告,mid_frontal,-14.540446666666668
7497,HC.AN.CL,1,1,18,651,0,1,0,1,一腔,鱼,mid_frontal,-5.246439
7498,HC.AN.VB,6,0,18,640,0,1,0,1,弹劾,帽子,mid_frontal,1.6738047999999999
7499,HC.AN.CL,1,1,18,99,0,1,0,1,一朵,棋,mid_frontal,-11.477442000000002
7500,LC.AN.VB,7,0,18,505,0,0,0,1,会见,措施,mid_frontal,-4.800231
7501,HC.EXP.VB,8,0,18,200,2,1,0,1,报道,新闻,mid_frontal,0.7249927666666668
7502,LC.AN.VB,7,0,18,319,0,0,0,1,发布,土地,mid_frontal,3.307031333333333
7503,HC.UNEXP.CL,4,1,18,53,1,1,-1,1,一帖,对联,mid_frontal,10.325747666666667
7504,HC.UNEXP.CL,4,1,18,307,1,1,-1,1,一盘,土豆,mid_frontal,-10.413203333333334
7505,HC.UNEXP.CL,4,1,18,186,1,1,-1,1,一轮,面试,mid_frontal,-15.313583333333332
7506,HC.UNEXP.VB,9,0,18,290,1,1,-1,1,篡改,答案,mid_frontal,2.5746717
7507,HC.UNEXP.VB,9,0,18,609,1,1,-1,1,参与,学习,mid_frontal,6.529356
7508,LC.UNEXP.CL,5,1,18,506,1,0,-2,1,一趟,飞机,mid_frontal,-7.17701
7509,HC.AN.VB,6,0,18,619,0,1,0,1,收受,狗,mid_frontal,-8.510219000000001
7510,LC.UNEXP.VB,10,0,18,488,1,0,-2,1,要求,成绩,mid_frontal,-8.661087333333334
7511,LC.UNEXP.VB,10,0,18,748,1,0,-2,1,增加,工资,mid_frontal,6.1337356666666665
7512,HC.EXP.CL,3,1,18,492,2,1,0,1,一面,墙,mid_frontal,9.110392333333333
7513,LC.AN.VB,7,0,18,278,0,0,0,1,收拾,生日,mid_frontal,-0.08275300000000008
7514,HC.AN.VB,6,0,18,198,0,1,0,1,环游,米,mid_frontal,8.473319333333334
7515,HC.UNEXP.VB,9,0,18,458,1,1,-1,1,虐待,儿子,mid_frontal,-16.355283333333333
7516,HC.EXP.CL,3,1,18,202,2,1,0,1,一届,学生,mid_frontal,-13.901319999999998
7517,HC.EXP.VB,8,0,18,274,2,1,0,1,载,人,mid_frontal,-4.817631633333334
7518,HC.AN.CL,1,1,18,56,0,1,0,1,一张,鸡,mid_frontal,-10.626097333333332
7519,HC.EXP.CL,3,1,18,310,2,1,0,1,一套,房,mid_frontal,-11.656846666666667
7520,LC.AN.VB,7,0,18,480,0,0,0,1,拉开,狗,mid_frontal,-3.2958914
7521,HC.EXP.VB,8,0,18,502,2,1,0,1,借鉴,经验,mid_frontal,-5.074282333333334
7522,HC.EXP.VB,8,0,18,37,2,1,0,1,践踏,尊严,mid_frontal,-0.39444300000000004
7523,HC.UNEXP.VB,9,0,18,501,1,1,-1,1,前往,实验室,mid_frontal,9.137891666666667
7524,LC.UNEXP.CL,5,1,18,469,1,0,-2,0,一两,珍珠,mid_frontal,0.5069021333333333
7525,HC.AN.VB,6,0,18,652,0,1,0,1,赚到,扣子,mid_frontal,-15.479993333333335
7526,LC.UNEXP.CL,5,1,18,301,1,0,-2,1,一只,松鼠,mid_frontal,-17.169
7527,LC.AN.CL,2,1,18,300,0,0,0,1,一团,水,mid_frontal,-1.7688554833333334
7528,LC.UNEXP.CL,5,1,18,119,1,0,-2,1,一层层,台阶,mid_frontal,6.465413666666667
7529,HC.UNEXP.VB,9,0,18,271,1,1,-1,1,兴建,景点,mid_frontal,-2.124659
7530,LC.UNEXP.VB,10,0,18,460,1,0,-2,1,变为,动物,mid_frontal,-8.652383666666667
7531,LC.UNEXP.VB,10,0,18,118,1,0,-2,1,整顿,思想,mid_frontal,6.342146
7532,LC.AN.VB,7,0,18,660,0,0,0,1,突出,线,mid_frontal,3.3400736666666666
7533,LC.UNEXP.VB,10,0,18,284,1,0,-2,1,踏进,社会,mid_frontal,-5.2591709
7534,HC.UNEXP.VB,9,0,18,190,1,1,-1,1,发来,短信,mid_frontal,4.0678178
7535,LC.AN.VB,7,0,18,329,0,0,0,1,送到,鸡,mid_frontal,-6.907025666666667
7536,HC.EXP.CL,3,1,18,496,2,1,0,1,一帖,字,mid_frontal,1.7911003333333333
7537,HC.EXP.VB,8,0,18,46,2,1,0,1,封锁,消息,mid_frontal,-4.3441635666666665
7538,HC.AN.VB,6,0,18,49,0,1,0,1,歪曲,飞机,mid_frontal,-15.124043333333335
7539,HC.EXP.CL,3,1,18,283,2,1,0,1,一碗,饭,mid_frontal,3.3870703333333334
7540,HC.UNEXP.CL,4,1,18,101,1,1,-1,1,一碗,肉,mid_posterior,8.202844333333333
7541,HC.UNEXP.CL,4,1,18,638,1,1,-1,1,一平方公里,湖,mid_posterior,0.9195023333333334
7542,LC.UNEXP.CL,5,1,18,280,1,0,-2,0,一大群,狗,mid_posterior,-3.4479607666666663
7543,LC.AN.CL,2,1,18,475,0,0,0,1,一份,墙,mid_posterior,3.322486666666667
7544,LC.AN.CL,2,1,18,648,0,0,0,1,一笔,菜,mid_posterior,2.011784533333333
7545,LC.UNEXP.CL,5,1,18,308,1,0,-2,0,一班,演员,mid_posterior,12.40854
7546,HC.EXP.VB,8,0,18,108,2,1,0,1,触犯,法律,mid_posterior,14.21331
7547,HC.UNEXP.VB,9,0,18,279,1,1,-1,1,扭转,时间,mid_posterior,8.253476333333333
7548,LC.AN.CL,2,1,18,120,0,0,0,1,一点儿,生日,mid_posterior,-0.3349462999999999
7549,HC.UNEXP.CL,4,1,18,277,1,1,-1,0,一扇,猪肉,mid_posterior,5.0735296666666665
7550,LC.AN.VB,7,0,18,624,0,0,0,1,设立,猪,mid_posterior,3.4517070000000003
7551,LC.UNEXP.CL,5,1,18,479,1,0,-2,1,一天,计划,mid_posterior,0.4744237166666667
7552,HC.UNEXP.CL,4,1,18,738,1,1,-1,1,一缕,丝,mid_posterior,22.935933333333335
7553,HC.AN.CL,1,1,18,649,0,1,0,1,一堵,米,mid_posterior,-3.893509333333333
7554,HC.AN.CL,1,1,18,470,0,1,0,1,一封,酒店,mid_posterior,9.189890666666667
7555,LC.UNEXP.CL,5,1,18,740,1,0,-2,1,一大/JJ,水泥,mid_posterior,-12.774693333333333
7556,LC.UNEXP.VB,10,0,18,733,1,0,-2,1,交给,同学,mid_posterior,13.7329
7557,LC.AN.CL,2,1,18,273,0,0,0,1,一声,土地,mid_posterior,-1.9229538000000002
7558,HC.EXP.VB,8,0,18,318,2,1,0,1,运送,货物,mid_posterior,6.857696
7559,LC.UNEXP.VB,10,0,18,184,1,0,-2,1,支持,提议,mid_posterior,1.709411666666667
7560,LC.AN.VB,7,0,18,117,0,0,0,1,举行,棋,mid_posterior,-12.683950000000001
7561,HC.AN.CL,1,1,18,48,0,1,0,1,一堂,水果,mid_posterior,-17.832596666666667
7562,HC.AN.CL,1,1,18,483,0,1,0,1,一本,黄金,mid_posterior,12.208663333333334
7563,LC.UNEXP.CL,5,1,18,454,1,0,-2,0,一大/JJ,老师,mid_posterior,-3.7485656666666665
7564,LC.AN.CL,2,1,18,281,0,0,0,1,一股,钱,mid_posterior,-1.1389820000000002
7565,LC.UNEXP.VB,10,0,18,650,1,0,-2,1,越过,领导,mid_posterior,3.107110666666667
7566,HC.EXP.VB,8,0,18,330,2,1,0,1,犯下,错误,mid_posterior,25.299666666666667
7567,HC.UNEXP.CL,4,1,18,657,1,1,-1,1,一壶,饮料,mid_posterior,0.08270333333333335
7568,LC.UNEXP.VB,10,0,18,643,1,0,-2,1,告诉,女孩,mid_posterior,1.6316971333333334
7569,LC.AN.VB,7,0,18,94,0,0,0,0,抵御,争论,mid_posterior,2.385070333333333
7570,HC.AN.VB,6,0,18,204,0,1,0,1,出台,电话,mid_posterior,-5.423029333333333
7571,HC.UNEXP.VB,9,0,18,625,1,1,-1,1,承包,商铺,mid_posterior,-2.4226102666666667
7572,LC.UNEXP.CL,5,1,18,181,1,0,-2,1,一包,面粉,mid_posterior,-3.2272873333333334
7573,HC.AN.VB,6,0,18,646,0,1,0,1,抓紧,学校,mid_posterior,-0.8841360099999999
7574,LC.UNEXP.VB,10,0,18,287,1,0,-2,1,具有,能力,mid_posterior,-2.243864
7575,LC.AN.VB,7,0,18,637,0,0,0,1,走向,信号,mid_posterior,0.8778883333333335
7576,HC.EXP.CL,3,1,18,510,2,1,0,1,一轮,明月,mid_posterior,-9.003860000000001
7577,HC.AN.CL,1,1,18,604,0,1,0,1,一句,卧室,mid_posterior,-4.561362666666667
7578,HC.AN.CL,1,1,18,631,0,1,0,1,一匹,米,mid_posterior,-9.070316333333333
7579,HC.EXP.VB,8,0,18,296,2,1,0,1,谋取,利益,mid_posterior,0.44291960000000014
7580,HC.EXP.VB,8,0,18,466,2,1,0,1,积累,经验,mid_posterior,3.9772963333333338
